Station,Station Name,Year,Overall WQI,WQI FC,WQI Oxy,WQI pH,WQI TSS,WQI Temp,WQI TPN,WQI TP,WQI Turb,Location 1
37A205,Yakima R @ Nob Hill,2011,83,86,88,80,68,100,97,80,66,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2012,84,78,87,78,74,97,97,81,74,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2013,82,85,91,77,73,85,97,79,69,POINT (-120.4617 46.5815)
38A050,Naches R @ Yakima on US HWY 97,1998,67,0,93,63,89,72,0,0,61,POINT (-120.5156 46.6298)
38A050,Naches R @ Yakima on US HWY 97,1999,72,0,91,67,0,89,0,0,52,POINT (-120.5156 46.6298)
38A050,Naches R @ Yakima on US HWY 97,2000,80,100,90,75,85,78,98,86,72,POINT (-120.5156 46.6298)
38A050,Naches R @ Yakima on US HWY 97,2002,93,99,98,79,87,93,98,92,86,POINT (-120.5156 46.6298)
38A050,Naches R @ Yakima on US HWY 97,2009,79,90,94,60,67,77,99,79,67,POINT (-120.5156 46.6298)
38A050,Naches R @ Yakima on US HWY 97,2011,79,86,93,86,60,86,98,80,64,POINT (-120.5156 46.6298)
38A050,Naches R @ Yakima on US HWY 97,2012,88,84,90,79,78,76,99,87,79,POINT (-120.5156 46.6298)
38A050,Naches R @ Yakima on US HWY 97,2013,68,78,90,64,71,69,98,83,67,POINT (-120.5156 46.6298)
38A050,Naches R @ Yakima on US HWY 97,2014,87,96,100,67,87,100,99,90,84,POINT (-120.5156 46.6298)
39A090,Yakima R nr Cle Elum,1995,65,78,72,90,68,80,84,81,67,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,1996,72,90,78,77,55,79,85,66,41,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,1997,68,87,77,86,51,83,80,26,50,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,1998,76,92,72,86,68,79,91,35,72,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,1999,74,96,80,86,66,84,81,73,59,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2000,67,88,79,83,52,85,80,80,53,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2001,63,88,62,88,61,65,95,82,68,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2002,84,95,80,87,74,78,95,82,74,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2003,75,89,74,97,66,80,90,75,68,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2004,70,88,72,94,65,75,92,100,68,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2005,70,84,71,92,64,76,94,100,67,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2006,78,90,79,87,68,85,78,100,67,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2007,76,88,73,96,70,82,93,96,63,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2008,76,93,72,98,65,87,95,93,63,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2009,71,93,74,92,56,75,94,68,50,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2010,78,86,77,96,69,76,99,89,64,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2011,76,88,77,93,60,77,96,75,51,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2012,79,89,80,96,66,84,100,86,63,POINT (-120.7091 47.1999)
39A090,Yakima R nr Cle Elum,2013,74,90,70,92,71,68,94,82,64,POINT (-120.7091 47.1999)
54A120,Spokane R @ Riverside State Pk,1995,56,50,90,83,70,83,60,59,66,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,1996,52,78,89,70,43,80,49,49,35,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,1997,51,82,83,83,51,89,63,44,41,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,1998,61,52,89,67,72,89,68,46,74,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,1999,40,74,89,83,39,94,31,35,35,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2000,60,76,93,80,70,94,44,40,66,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2001,68,95,87,87,73,90,21,53,73,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2002,60,86,89,87,50,90,35,40,47,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2003,37,44,88,88,73,98,31,49,68,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2004,83,87,82,91,76,94,48,70,79,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2005,69,81,86,91,78,93,26,61,81,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2006,55,75,84,84,54,97,16,56,49,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2007,69,84,88,84,66,88,1,71,53,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2008,61,83,90,83,68,81,23,58,64,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2009,57,93,91,83,55,93,2,52,53,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2010,63,73,87,84,75,86,15,57,78,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2011,43,66,93,84,53,95,10,55,50,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2012,70,59,86,81,70,79,32,87,73,POINT (-117.5448 47.7767)
54A120,Spokane R @ Riverside State Pk,2013,86,91,94,81,78,82,17,86,68,POINT (-117.5448 47.7767)
60A070,Kettle R nr Barstow,1995,64,86,72,70,43,72,100,75,52,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,1996,62,81,74,74,37,79,98,54,39,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,1997,65,89,70,83,41,53,100,40,47,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,1998,55,81,73,83,46,28,100,52,51,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,1999,71,90,78,80,46,60,99,74,58,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2000,70,85,75,74,51,59,100,88,60,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2001,63,86,75,73,60,51,100,80,74,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2002,65,95,72,76,52,58,100,82,65,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2003,64,91,72,74,42,57,99,82,61,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2004,65,84,69,80,49,43,100,98,65,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2005,75,94,75,72,58,54,100,100,74,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2006,63,91,73,70,33,57,99,82,47,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2007,62,96,70,75,56,55,100,100,68,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2008,66,88,73,79,43,61,99,77,58,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2009,63,87,67,78,49,43,100,65,61,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2010,68,94,76,81,75,57,100,92,80,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2011,68,89,77,81,41,65,100,69,54,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2012,62,82,81,75,42,65,99,73,53,POINT (-118.1253 48.7846)
60A070,Kettle R nr Barstow,2013,63,90,77,77,36,49,100,66,54,POINT (-118.1253 48.7846)
61A070,Columbia R @ Northport,1995,79,78,80,83,77,71,100,99,83,POINT (-117.7766 48.9224)
